gene_id,POC-201-TP1,POC-201-TP2,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-259-TP1,POC-259-TP2,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP2,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
gene-Pocillopora_meandrina_HIv1___RNAseq.g3496.t2,721,693,956,640,276,588,656,1127,278,334,434,485,460,728,171,417,641,240,438,259,61,661,791,882,525,490,1307,502,647,241,1008,837
gene-Pocillopora_meandrina_HIv1___RNAseq.g3556.t1,2380,890,1296,622,315,1012,442,2768,743,273,769,1079,667,1142,460,696,1765,414,610,319,154,979,993,1553,1032,618,1992,1058,973,388,2304,1764
gene-Pocillopora_meandrina_HIv1___RNAseq.g25879.t1,48,148,129,65,15,41,152,142,16,139,63,45,86,114,22,30,40,57,104,22,0,43,87,95,69,34,97,30,48,58,112,62
gene-Pocillopora_meandrina_HIv1___RNAseq.g26521.t1,112,243,209,110,48,120,329,344,113,231,103,146,120,234,105,122,92,188,144,82,9,142,178,246,185,182,259,197,163,39,130,277
gene-Pocillopora_meandrina_HIv1___RNAseq.g26671.t1,655,938,1057,772,280,539,673,775,461,477,741,694,509,993,284,441,569,367,518,381,62,627,743,603,543,469,772,510,737,335,577,548
gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1,435,189,123,121,30,144,349,502,165,372,152,57,125,179,260,344,241,414,632,57,41,359,135,328,187,293,299,221,265,88,320,478
gene-Pocillopora_meandrina_HIv1___TS.g21598.t2,36,74,52,15,24,58,119,72,12,55,21,18,28,81,8,7,19,21,23,9,0,23,55,26,22,22,32,37,32,10,31,55
gene-Pocillopora_meandrina_HIv1___RNAseq.g4243.t1,542,1987,2216,1163,367,862,1198,3116,995,633,1304,496,729,1626,492,1191,1070,1045,1212,406,82,1119,1470,2367,1138,1127,1470,1035,900,233,1325,1101
gene-Pocillopora_meandrina_HIv1___RNAseq.g4478.t1b,2695,1462,1321,918,124,694,1869,4227,918,927,877,608,1346,1672,749,760,1990,783,846,176,98,994,1203,4056,1496,1100,4265,959,1710,254,3176,2635
gene-Pocillopora_meandrina_HIv1___RNAseq.g4839.t1,98,299,149,111,30,68,506,446,55,266,108,81,190,343,75,58,122,145,132,23,0,103,133,301,148,102,222,41,119,38,155,145
gene-Pocillopora_meandrina_HIv1___RNAseq.g11450.t1,49,91,106,38,0,26,137,104,54,105,32,13,102,105,60,66,75,100,124,60,0,95,27,64,88,65,49,128,75,42,68,149
gene-Pocillopora_meandrina_HIv1___RNAseq.g11769.t1,45,169,155,57,4,29,179,202,23,126,63,57,146,135,40,42,56,33,55,31,0,58,36,120,87,58,52,40,102,41,154,97
gene-Pocillopora_meandrina_HIv1___RNAseq.g28888.t3,376,557,496,402,113,281,638,687,238,464,375,218,565,662,228,251,500,324,520,64,64,287,320,544,445,345,629,284,369,141,465,507
gene-Pocillopora_meandrina_HIv1___TS.g6556.t1,104,102,274,232,79,131,76,174,45,61,224,156,73,85,42,103,142,47,148,27,0,30,44,60,298,127,360,140,166,111,231,238
gene-Pocillopora_meandrina_HIv1___RNAseq.g29513.t1,383,210,255,113,56,81,472,448,105,261,109,52,158,208,145,244,144,253,328,43,48,381,170,398,190,169,312,170,152,55,244,248
gene-Pocillopora_meandrina_HIv1___RNAseq.g28225.t1,40,119,60,40,0,38,137,130,27,68,46,27,60,73,48,26,41,40,51,36,22,50,21,57,56,43,52,27,22,26,25,71
gene-Pocillopora_meandrina_HIv1___RNAseq.g28309.t1a,38,36,57,9,2,7,101,154,14,54,22,48,38,48,22,23,39,31,44,16,0,11,39,76,18,27,50,39,54,7,53,94
gene-Pocillopora_meandrina_HIv1___RNAseq.g17906.t1,263,298,291,137,86,124,347,516,142,163,266,196,235,230,85,58,175,68,200,45,46,136,257,253,221,155,265,169,150,94,254,249
gene-Pocillopora_meandrina_HIv1___RNAseq.g17949.t1,2695,426,6550,3442,729,2597,406,3913,5498,271,3310,11467,1458,1569,745,1966,7313,759,900,1475,159,2244,9047,10312,9309,2186,14738,1290,2633,866,15377,2734
gene-Pocillopora_meandrina_HIv1___RNAseq.g18210.t1,808,810,1039,764,88,919,743,569,1064,818,489,328,659,650,367,461,349,600,506,141,117,564,278,577,345,407,295,690,761,597,524,996
gene-Pocillopora_meandrina_HIv1___RNAseq.g18294.t1,39,148,84,77,0,36,155,78,43,106,31,31,116,109,35,34,54,85,46,40,0,48,13,36,73,21,81,33,107,93,102,69
gene-Pocillopora_meandrina_HIv1___RNAseq.g10817.t1,27,98,63,74,10,18,41,129,10,13,37,5,60,77,21,116,10,17,46,8,0,142,35,121,60,38,53,13,36,21,40,16
gene-Pocillopora_meandrina_HIv1___RNAseq.g2952.t1,620,594,638,376,224,383,641,800,326,313,366,369,301,643,239,365,449,308,572,265,89,610,606,713,292,285,466,536,520,148,481,506
gene-Pocillopora_meandrina_HIv1___RNAseq.g3061.t1,55,19,35,31,0,56,44,63,16,0,47,26,4,14,0,17,34,13,10,0,0,23,47,83,39,12,37,27,25,26,58,41
gene-Pocillopora_meandrina_HIv1___RNAseq.g3177.t1,128,118,29,33,4,18,136,143,52,46,43,25,68,112,28,14,64,21,35,25,0,47,43,93,63,51,128,17,25,11,56,80
gene-Pocillopora_meandrina_HIv1___TS.g4011.t1,72,102,109,93,9,68,132,104,9,72,24,56,119,169,19,10,72,40,92,16,0,83,126,91,104,57,110,47,64,48,90,88
gene-Pocillopora_meandrina_HIv1___RNAseq.g16708.t1,241,264,239,139,0,89,296,590,102,107,97,124,184,287,82,47,134,75,118,23,0,92,122,185,331,248,455,77,149,53,363,205
gene-Pocillopora_meandrina_HIv1___RNAseq.g16865.t1,18,38,42,28,1,4,20,68,5,7,14,10,53,53,0,2,30,7,0,0,0,12,16,31,18,5,39,16,9,9,33,19
gene-Pocillopora_meandrina_HIv1___RNAseq.g11866.t1,245,259,192,173,52,114,655,311,89,690,209,90,216,438,281,314,222,420,504,19,46,320,224,325,310,221,351,177,197,49,301,423
gene-Pocillopora_meandrina_HIv1___RNAseq.g11931.t1,28,252,131,83,5,42,114,315,16,58,42,70,151,158,9,11,54,15,28,27,0,42,65,113,66,18,121,31,39,26,90,104
