gene_id,POC-201-TP1,POC-201-TP2,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-259-TP1,POC-259-TP2,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP2,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
"('OG_06279', 'Pocillopora_meandrina_HIv1___RNAseq.g16195.t1')",9426,1598,1754,4155,448,3658,1119,1900,9394,1142,6508,1775,924,1375,3187,6113,8291,2228,4992,283,272,6555,4746,6091,12061,10907,4571,2364,17225,5294,25633,9868
"('OG_18058', 'Pocillopora_meandrina_HIv1___TS.g11409.t1')",561,403,256,266,12,299,10,0,0,589,337,41,408,729,1189,919,378,369,198,72,30,469,310,351,330,267,244,124,364,173,255,365
"('OG_06234', 'Pocillopora_meandrina_HIv1___RNAseq.g16542.t1')",575,400,943,275,260,279,170,761,389,145,295,187,643,1662,229,173,2221,205,196,87,35,176,324,729,410,227,715,85,275,198,905,456
"('OG_06236', 'Pocillopora_meandrina_HIv1___TS.g11527.t1')",221,474,176,90,0,10,123,217,140,53,203,85,173,212,46,38,149,68,82,0,0,59,67,175,147,37,158,17,146,70,395,18
"('OG_15759', 'Pocillopora_meandrina_HIv1___RNAseq.7251_t')",26592,36941,31400,40088,12508,12880,4846,46340,14374,5680,20521,16277,29817,26190,25055,28994,19024,11789,20419,2401,5927,21840,38941,24436,23647,30412,19182,13968,22163,13163,32801,9271
"('OG_15070', 'Pocillopora_meandrina_HIv1___RNAseq.g24098.t1')",16,16,13,9,4,10,54,328,232,17,9,38,10,16,73,58,87,89,22,63,0,3,47,13,24,32,74,112,174,32,87,77
"('OG_06181', 'Pocillopora_meandrina_HIv1___TS.g11574.t1')",5053,4295,3344,3620,1819,1852,5081,10975,2298,7082,4087,956,4281,5382,4427,7517,5675,5892,5599,365,868,5651,7710,7795,6846,6755,5909,2802,5107,1577,5985,3126
"('OG_17483', 'Pocillopora_meandrina_HIv1___RNAseq.g16566.t1')",1240,1809,1992,1494,229,1150,1082,2222,883,528,1585,836,1835,2729,428,272,747,306,429,166,62,1036,1434,2292,1276,647,1684,415,1097,370,2103,1478
"('OG_07183', 'Pocillopora_meandrina_HIv1___RNAseq.g24113.t1')",1627,897,1185,1072,118,534,939,2230,1195,270,1140,615,1485,1545,729,374,1551,472,212,70,0,366,1120,1707,1159,600,1157,180,1625,510,2409,878
"('OG_07150', 'Pocillopora_meandrina_HIv1___TS.g12263.t1')",440,155,116,91,76,175,857,220,147,1760,444,303,88,100,420,602,223,816,694,819,0,749,298,242,290,362,304,614,136,247,151,593
"('OG_14804', 'Pocillopora_meandrina_HIv1___RNAseq.g24442.t1')",17,23,33,26,0,21,71,9,12,152,20,0,32,31,103,86,33,77,0,0,0,21,4,7,0,8,0,8,27,84,30,9
"('OG_15086', 'Pocillopora_meandrina_HIv1___RNAseq.g24466.t1')",100,113,135,104,3,65,278,295,70,230,106,113,240,170,290,141,290,154,152,94,0,192,184,111,129,116,202,42,163,209,147,122
"('OG_07252', 'Pocillopora_meandrina_HIv1___TS.g12407.t1')",101,167,114,67,0,29,236,187,45,195,47,101,142,139,307,138,272,111,168,66,0,166,204,152,104,90,145,26,75,125,120,92
"('OG_16586', 'Pocillopora_meandrina_HIv1___RNAseq.g24469.t1')",50,60,14,8,0,4,107,84,21,32,10,0,33,58,106,90,152,40,65,2,0,64,70,55,49,94,81,0,45,16,29,14
"('OG_16585', 'Pocillopora_meandrina_HIv1___RNAseq.g24468.t1')",42,58,34,10,0,28,129,87,39,68,44,0,46,22,119,66,93,57,30,5,5,37,42,48,30,39,60,2,12,42,59,39
"('OG_15087', 'Pocillopora_meandrina_HIv1___RNAseq.g24463.t1')",0,10,0,7,0,0,16,21,12,13,4,3,5,7,10,11,7,9,14,0,0,5,4,0,11,5,0,0,13,12,0,0
"('OG_17124', 'Pocillopora_meandrina_HIv1___RNAseq.g24462.t1')",320,362,561,378,32,190,148,341,160,82,478,370,405,319,92,207,327,94,227,95,47,437,411,651,199,79,168,73,231,154,425,27
"('OG_16944', 'Pocillopora_meandrina_HIv1___RNAseq.g24673.t1')",26,52,45,21,7,49,28,14,13,458,198,23,134,300,116,133,182,95,287,0,0,64,11,27,50,88,110,13,0,5,0,30
"('OG_17045', 'Pocillopora_meandrina_HIv1___RNAseq.g24668.t1')",103,200,368,299,38,50,35,350,60,7,131,61,466,773,187,154,502,153,44,27,0,21,25,22,339,180,433,80,102,62,227,117
"('OG_14942', 'Pocillopora_meandrina_HIv1___TS.g12627.t1')",39,385,284,265,45,70,454,167,16,239,89,8,156,188,220,51,135,128,59,7,0,86,163,155,298,269,376,65,153,42,368,52
"('OG_07153', 'Pocillopora_meandrina_HIv1___RNAseq.g24734.t1')",145,98,93,47,20,24,365,116,65,223,92,14,142,166,383,107,253,106,184,36,0,127,201,106,136,201,153,34,137,152,72,45
"('OG_15060', 'Pocillopora_meandrina_HIv1___RNAseq.g24736.t1a')",23,10,22,0,0,0,41,48,0,20,0,0,20,9,16,9,19,0,8,0,0,0,51,33,17,20,27,9,22,20,0,0
"('OG_07042', 'Pocillopora_meandrina_HIv1___TS.g12785.t1')",462,596,402,322,138,175,452,889,311,150,280,176,566,673,408,300,464,244,453,55,154,355,519,740,514,471,716,177,555,204,551,265
"('OG_14189', 'Pocillopora_meandrina_HIv1___RNAseq.g25127.t1')",0,0,0,0,0,0,6,5,3,0,0,0,0,2,7,0,16,8,0,9,0,2,0,6,7,1,2,1,5,8,4,0
"('OG_07265', 'Pocillopora_meandrina_HIv1___RNAseq.g25129.t1')",0,0,30,4,0,0,6,22,0,0,3,0,10,13,0,1,3,0,0,4,0,0,0,0,9,10,69,0,0,0,0,3
"('OG_02439', 'Pocillopora_meandrina_HIv1___RNAseq.g25133.t1')",1145,3413,2394,2603,63,779,446,1443,456,720,2718,501,432,155,450,715,108,434,142,132,0,1640,1333,6817,1264,9087,1042,520,760,464,1720,562
"('OG_03330', 'Pocillopora_meandrina_HIv1___TS.g15837.t1')",1134,1101,1124,777,81,256,3376,1624,1174,1570,849,196,805,1193,826,1168,1162,1704,930,327,22,624,864,1326,1009,788,1025,451,962,335,1189,414
"('OG_03270', 'Pocillopora_meandrina_HIv1___RNAseq.g23012.t1')",1105,586,1289,376,90,779,656,2651,969,419,184,1123,475,537,274,755,658,671,320,333,0,337,417,547,675,263,510,727,290,147,235,538
"('OG_03269', 'Pocillopora_meandrina_HIv1___TS.g15900.t1')",363,1162,1410,213,58,1249,1686,606,106,1230,2690,234,793,1224,1027,1962,1533,1356,3017,2898,0,3363,791,1168,4145,2643,3557,1080,531,1592,882,2217
"('OG_03268', 'Pocillopora_meandrina_HIv1___RNAseq.g23023.t1')",21,38,29,0,31,99,42,25,15,34,36,16,13,44,25,69,60,26,30,62,21,44,60,24,65,72,70,24,12,16,30,127
"('OG_03267', 'Pocillopora_meandrina_HIv1___TS.g15910.t1')",99,112,225,168,28,75,193,359,73,139,146,86,148,150,26,41,61,71,69,31,19,107,203,470,200,97,252,75,62,43,128,61
"('OG_16485', 'Pocillopora_meandrina_HIv1___RNAseq.g23026.t1')",12,72,53,11,0,15,56,28,0,98,106,0,12,30,52,121,22,95,39,15,0,82,14,19,39,47,16,5,9,48,11,18
"('OG_16139', 'Pocillopora_meandrina_HIv1___TS.g15931.t1')",5,0,0,0,4,0,4,0,0,0,0,0,0,0,6,3,7,0,0,5,0,6,5,0,0,19,0,0,5,0,0,0
"('OG_05717', 'Pocillopora_meandrina_HIv1___RNAseq.g23132.t1')",0,0,0,5,0,0,0,0,23,0,0,0,0,0,0,0,6,0,9,0,0,2,4,6,7,0,6,0,0,0,3,0
"('OG_17591', 'Pocillopora_meandrina_HIv1___RNAseq.g23133.t1')",0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"('OG_05718', 'Pocillopora_meandrina_HIv1___RNAseq.g23128.t1')",2514,1206,428,660,24,638,1777,1274,1218,2252,1550,127,497,844,3325,4521,1479,3967,5519,196,43,2890,783,888,2673,4698,1876,1595,2325,953,1273,4523
"('OG_05713', 'Pocillopora_meandrina_HIv1___RNAseq.g23146.t1')",559,361,474,276,42,323,539,707,449,606,482,226,383,432,296,415,630,292,288,139,25,454,456,824,547,348,766,305,577,366,987,581
"('OG_14276', 'Pocillopora_meandrina_HIv1___RNAseq.g23354.t1')",1628,853,656,1534,237,560,1381,1263,641,852,1894,276,726,779,945,919,1620,841,752,82,207,838,1524,1728,1670,2216,1047,362,1086,348,1641,908
"('OG_17286', 'Pocillopora_meandrina_HIv1___TS.g16293.t1')",10,14,0,9,0,0,0,8,0,0,0,0,0,0,0,0,9,25,0,8,0,0,0,0,10,6,4,0,13,20,0,0
"('OG_10267', 'Pocillopora_meandrina_HIv1___RNAseq.g23527.t1')",14015,6390,17209,10730,5608,22071,10527,16621,17209,12775,12040,14077,6841,8037,6048,9210,11582,9141,9483,9542,2096,14935,11965,20144,9696,8916,10964,17315,7513,4346,12959,24772
"('OG_17646', 'Pocillopora_meandrina_HIv1___RNAseq.g23591.t1')",3513,2227,4155,3370,1527,2690,758,7287,2924,440,2679,3137,552,831,686,982,1644,569,740,522,718,1265,3018,3302,2645,2558,2954,2540,2367,1149,4048,1690
"('OG_17666', 'Pocillopora_meandrina_HIv1___RNAseq.g23619.t1')",2163,1204,1636,857,232,1887,5508,570,802,10558,961,544,727,593,4658,6543,494,10043,8415,6153,53,8051,762,947,961,4414,656,6619,1810,2489,307,15203
"('OG_14279', 'Pocillopora_meandrina_HIv1___TS.g16540.t1')",17,29,6,22,0,12,35,82,20,48,0,0,74,17,40,57,94,98,50,119,0,23,36,35,61,39,22,15,52,81,12,13
"('OG_17027', 'Pocillopora_meandrina_HIv1___RNAseq.g23669.t1')",4,5,28,25,11,2,4,24,9,18,0,2,17,21,75,0,46,90,0,110,0,17,19,7,69,26,18,10,30,32,6,0
"('OG_10265', 'Pocillopora_meandrina_HIv1___RNAseq.g23802.t1')",1388,1954,1620,1304,76,471,1982,2640,631,1600,1144,539,2346,2391,590,459,1341,704,755,107,44,606,1615,2366,1831,685,2144,314,1029,567,2237,781
"('OG_16592', 'Pocillopora_meandrina_HIv1___RNAseq.g23895.t1')",61937,18484,45274,26473,16052,69452,144376,39418,73622,182419,52689,28188,19178,20683,106514,169885,44459,214868,124082,103034,13481,118053,52087,51523,55731,92630,42377,178504,94939,53988,49824,122616
"('OG_02967', 'Pocillopora_meandrina_HIv1___RNAseq.g23920.t1')",2923,2447,8173,7580,1532,1892,2591,13895,3170,3012,12052,6671,1890,2341,3972,2505,4097,2204,1031,1605,479,1511,3415,4662,4188,4037,7337,5053,4290,1437,6278,1661
"('OG_14262', 'Pocillopora_meandrina_HIv1___RNAseq.g23923.t1')",159,333,1167,943,174,204,842,3575,136,952,2533,709,867,983,895,800,370,940,840,503,99,689,709,1273,589,1006,965,1186,748,254,606,231
"('OG_02924', 'Pocillopora_meandrina_HIv1___RNAseq.g24033.t1')",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,23,0,0,0,2,7,0,5,0,24,0,0,0
"('OG_14257', 'Pocillopora_meandrina_HIv1___RNAseq.g24031.t1')",195,267,242,132,63,125,257,508,148,1091,377,59,179,73,374,1261,105,879,897,337,9,1116,361,212,235,615,160,844,245,160,103,144
"('OG_02935', 'Pocillopora_meandrina_HIv1___RNAseq.g24061.t1')",800,57,91,214,40,287,398,63,203,232,148,9,63,54,502,311,342,334,560,34,31,156,169,200,242,370,145,157,486,269,167,620
"('OG_16789', 'Pocillopora_meandrina_HIv1___RNAseq.g24081.t1')",1652,2176,1112,908,33,535,519,2022,1021,355,1275,595,1181,2669,1041,909,1958,432,586,60,110,573,822,1453,2048,1635,1557,309,1937,813,2468,719
"('OG_10251', 'Pocillopora_meandrina_HIv1___RNAseq.g26720.t1')",3,0,0,0,0,0,6,0,0,0,0,0,0,4,11,0,6,8,5,0,0,0,0,0,0,4,0,0,0,0,0,14
"('OG_15644', 'Pocillopora_meandrina_HIv1___RNAseq.g26893.t1')",9,25,5,6,0,0,41,7,0,25,18,0,21,12,57,13,13,15,0,0,0,13,37,15,8,15,9,7,5,9,6,17
"('OG_07958', 'Pocillopora_meandrina_HIv1___TS.g14356.t2')",1038,801,617,626,45,354,1605,1715,686,1344,764,390,560,882,1053,1388,1179,1438,1438,92,74,1331,868,1623,655,919,894,665,901,491,1305,1211
"('OG_15738', 'Pocillopora_meandrina_HIv1___RNAseq.g27067.t1')",276,461,269,221,93,390,270,445,213,192,325,365,158,507,150,270,343,332,234,351,36,419,378,300,121,198,423,594,299,133,322,493
"('OG_08192', 'Pocillopora_meandrina_HIv1___TS.g14605.t2')",91,94,81,50,0,81,200,130,30,105,51,10,100,79,35,42,64,55,80,0,0,79,84,92,70,33,95,17,24,30,91,55
"('OG_17006', 'Pocillopora_meandrina_HIv1___RNAseq.g27374.t1')",5314,73,330,1880,181,1909,1654,418,2784,3566,4366,1764,73,66,1964,1962,3242,1846,1587,2206,36,1431,1276,1519,4742,1378,772,2117,2242,1874,2205,4170
"('OG_08271', 'Pocillopora_meandrina_HIv1___RNAseq.g27377.t1')",3600,1358,1192,1079,162,1538,940,2644,1473,1498,2198,290,1127,1439,2838,2108,1442,1673,1759,276,273,2678,1582,2566,1669,1787,1162,1031,2186,1145,2210,3101
"('OG_16092', 'Pocillopora_meandrina_HIv1___RNAseq.g27464.t1')",19,8,0,0,0,7,8,0,0,35,0,0,6,15,37,29,30,15,12,9,0,24,17,13,19,53,4,0,41,0,30,0
"('OG_08259', 'Pocillopora_meandrina_HIv1___RNAseq.g27504.t1')",489,164,151,160,10,122,444,443,147,166,187,35,148,423,386,170,639,283,237,15,0,201,276,416,308,302,288,39,278,173,444,218
"('OG_17849', 'Pocillopora_meandrina_HIv1___TS.g14930.t1')",61,109,43,10,0,0,40,60,34,16,12,0,69,159,0,12,36,19,25,0,0,41,34,310,49,51,147,6,75,28,203,61
"('OG_07822', 'Pocillopora_meandrina_HIv1___RNAseq.g27709.t1')",90,79,218,67,21,58,121,210,37,25,68,79,64,81,30,30,113,33,29,6,2,23,64,105,85,17,102,8,97,15,112,14
"('OG_07821', 'Pocillopora_meandrina_HIv1___RNAseq.g27710.t1')",108,60,41,12,18,19,80,70,41,19,25,22,35,49,59,38,139,44,19,0,0,8,6,90,41,37,78,0,30,14,85,113
"('OG_07807', 'Pocillopora_meandrina_HIv1___RNAseq.g27741.t1')",1349,370,756,465,29,595,403,409,801,283,525,407,252,493,416,991,549,891,741,312,12,840,511,1338,1085,591,996,657,738,238,759,1082
"('OG_17098', 'Pocillopora_meandrina_HIv1___RNAseq.g27761.t1a')",37,155,116,51,12,120,104,30,13,101,210,11,30,102,100,264,119,130,238,203,0,511,94,116,210,151,248,73,25,55,12,86
"('OG_07836', 'Pocillopora_meandrina_HIv1___RNAseq.g27915.t1')",1303,263,468,232,111,555,492,1876,266,293,401,257,559,737,103,256,883,137,225,26,48,1051,764,3032,501,42,1353,111,693,239,1790,927
"('OG_07892', 'Pocillopora_meandrina_HIv1___RNAseq.g27865.t1')",470,490,423,391,67,177,1059,864,143,722,353,144,454,656,382,247,432,551,688,142,13,285,322,809,510,314,559,133,397,169,748,383
"('OG_06754', 'Pocillopora_meandrina_HIv1___RNAseq.g5072.t1')",1601,629,403,342,99,224,1118,1357,229,650,654,253,683,1381,436,345,1131,507,400,18,139,341,762,1490,923,615,1220,101,563,151,1131,269
"('OG_06719', 'Pocillopora_meandrina_HIv1___RNAseq.g5082.t1')",3746,425,500,354,79,414,2028,1025,1227,709,357,174,456,546,1754,1201,1384,749,1048,10,257,757,831,766,971,1230,582,574,2339,450,1154,2426
"('OG_06717', 'Pocillopora_meandrina_HIv1___RNAseq.g5084.t2')",447,742,527,429,76,106,1423,1286,108,716,321,98,787,818,344,497,322,482,857,28,0,536,537,829,508,426,619,101,277,104,772,261
"('OG_06712', 'Pocillopora_meandrina_HIv1___TS.g23876.t1')",888,491,841,305,464,946,492,598,637,124,444,1132,557,844,393,268,996,300,317,142,1831,175,381,594,767,372,764,216,709,270,787,427
"('OG_06711', 'Pocillopora_meandrina_HIv1___TS.g23878.t1')",275,198,222,204,3,220,145,170,149,67,304,115,215,304,105,120,370,65,99,77,3,50,113,269,215,249,215,82,193,146,335,115
"('OG_07000', 'Pocillopora_meandrina_HIv1___RNAseq.g5328.t1')",3386,90,628,413,121,1491,301,568,1262,2345,1994,557,497,426,2306,2684,2461,3762,1754,2918,46,2230,969,1501,1161,1394,1182,3325,1888,1099,2090,7521
"('OG_06999', 'Pocillopora_meandrina_HIv1___RNAseq.g5341.t1')",7,3,3,0,0,3,0,10,0,9,0,0,14,0,43,7,13,34,35,33,0,14,2,5,15,9,7,12,6,28,0,25
"('OG_16158', 'Pocillopora_meandrina_HIv1___RNAseq.g5340.t1')",217,32,75,12,10,17,75,137,70,66,142,47,119,126,80,48,258,92,55,140,27,40,103,136,112,5,211,48,40,76,166,78
"('OG_16159', 'Pocillopora_meandrina_HIv1___RNAseq.11571_t')",20714,267,1330,1883,216,6272,477,618,5780,7050,4734,1714,663,333,3416,8200,5210,7879,6032,10242,68,12498,2774,7118,6939,3968,3225,9734,3034,1778,3990,22660
"('OG_06998', 'Pocillopora_meandrina_HIv1___RNAseq.g5342.t1')",2009,389,539,411,84,2097,354,523,1444,1378,1605,271,499,353,4050,6681,934,3261,3988,1133,106,9822,795,1157,1427,4437,1281,6056,3449,1522,992,23422
"('OG_02090', 'Pocillopora_meandrina_HIv1___TS.g24166.t1')",669,1419,847,1055,110,415,833,262,192,1864,1871,111,1888,1822,523,1115,755,494,1364,169,335,1773,1107,1385,425,639,161,183,566,581,365,224
"('OG_15020', 'Pocillopora_meandrina_HIv1___TS.g24321.t1')",25,7,3,17,0,7,12,22,22,7,32,23,15,29,22,20,44,12,37,0,0,4,8,33,15,57,25,0,53,10,40,20
"('OG_15021', 'Pocillopora_meandrina_HIv1___RNAseq.g5601.t1')",64,5,25,24,0,5,12,35,53,6,38,11,28,52,9,54,97,23,22,0,0,21,32,52,13,17,39,10,57,33,67,49
"('OG_14547', 'Pocillopora_meandrina_HIv1___RNAseq.g5671.t1')",625,635,222,285,92,70,300,330,245,149,355,200,764,755,254,328,555,165,459,38,130,480,533,1097,1688,1742,1850,319,440,337,703,527
"('OG_18223', 'Pocillopora_meandrina_HIv1___RNAseq.g5674.t1c')",729,723,939,718,434,1045,660,1077,917,451,632,1247,618,591,668,564,797,757,604,517,194,508,524,742,692,482,605,817,600,463,939,815
"('OG_06775', 'Pocillopora_meandrina_HIv1___TS.g24411.t1')",746,454,309,248,35,133,404,491,206,227,275,145,426,655,323,393,584,280,377,40,25,262,401,703,454,504,571,49,329,81,703,402
"('OG_06931', 'Pocillopora_meandrina_HIv1___RNAseq.g5694.t1')",1365,962,382,564,65,154,2254,982,295,2471,889,172,675,1050,486,668,1139,1306,1068,147,44,985,909,1120,1391,1096,1861,347,1369,392,1957,1101
"('OG_15009', 'Pocillopora_meandrina_HIv1___RNAseq.g5761.t1')",414,232,235,43,0,131,248,408,261,97,146,117,259,292,185,115,603,166,150,126,0,104,234,256,134,126,319,60,132,140,242,145
"('OG_02088', 'Pocillopora_meandrina_HIv1___RNAseq.g5785.t1')",6919,10044,13521,7336,1989,8148,12988,31314,8214,10410,18989,12280,7126,9517,2437,6083,3421,5708,9531,18176,315,10471,9043,16004,7829,5127,10919,10773,6231,3787,5265,7822
"('OG_17100', 'Pocillopora_meandrina_HIv1___TS.g24518.t1')",25,0,2,0,0,5,4,0,0,0,7,0,0,0,20,0,24,0,0,0,0,4,0,0,5,5,0,0,0,14,0,11
"('OG_14100', 'Pocillopora_meandrina_HIv1___TS.g24548.t1')",140,47,44,71,0,135,65,36,43,72,88,25,38,46,129,66,172,114,158,56,0,51,74,71,40,72,24,47,128,45,85,245
"('OG_17596', 'Pocillopora_meandrina_HIv1___RNAseq.g5855.t1')",4,0,0,0,0,0,0,0,0,0,5,0,0,3,0,4,11,8,0,0,0,12,0,0,9,0,0,0,0,0,0,0
"('OG_16289', 'Pocillopora_meandrina_HIv1___TS.g24607.t1')",39,8,70,23,0,83,55,37,28,0,13,5,36,65,38,17,35,22,43,7,0,54,11,41,30,22,34,17,60,18,41,43
"('OG_02163', 'Pocillopora_meandrina_HIv1___RNAseq.g5887.t1')",903,384,500,527,108,242,683,441,210,428,475,129,496,330,305,190,501,322,248,197,73,293,395,504,611,357,474,151,435,232,588,212
"('OG_14915', 'Pocillopora_meandrina_HIv1___RNAseq.g5928.t1a')",333,235,521,189,261,471,1805,189,323,7292,432,102,99,150,428,962,196,3597,624,1216,64,452,261,219,118,318,137,1357,553,329,202,803
"('OG_06955', 'Pocillopora_meandrina_HIv1___RNAseq.g6016.t1')",710,644,517,361,41,167,817,1004,250,505,659,206,691,861,396,355,807,362,257,129,112,333,446,704,898,534,880,76,347,135,957,340
"('OG_06954', 'Pocillopora_meandrina_HIv1___RNAseq.g6018.t1')",75,108,62,40,0,65,316,198,53,89,29,7,43,68,76,38,42,72,188,77,0,62,24,56,131,100,119,22,64,50,131,121
"('OG_17497', 'Pocillopora_meandrina_HIv1___RNAseq.g6049.t1')",76,219,186,144,24,109,93,280,136,65,236,47,146,354,242,175,191,155,85,18,0,41,82,116,213,164,135,30,193,87,153,58
"('OG_06875', 'Pocillopora_meandrina_HIv1___TS.g24761.t1')",331,101,116,197,8,254,192,164,209,95,203,67,218,310,267,262,502,163,145,16,11,302,297,329,385,409,316,121,289,198,483,348
"('OG_06670', 'Pocillopora_meandrina_HIv1___RNAseq.g6195.t1')",1567,1476,1325,777,250,882,1384,2708,854,1089,1120,888,1082,1501,384,585,1068,481,583,186,94,818,1019,2653,1532,873,2593,788,1060,380,2123,1688
"('OG_15796', 'Pocillopora_meandrina_HIv1___TS.g4194.t1a')",11,3,0,6,0,0,0,0,0,59,0,0,0,0,0,0,0,17,0,13,0,13,0,0,0,0,0,0,0,0,0,0
"('OG_00176', 'Pocillopora_meandrina_HIv1___RNAseq.g1836.t1')",0,48,24,9,13,17,31,23,31,8,53,14,17,16,91,36,92,15,0,38,0,38,50,14,36,28,45,14,10,5,0,17
"('OG_00171', 'Pocillopora_meandrina_HIv1___RNAseq.g1863.t1')",652,536,398,310,112,181,893,1010,314,697,319,106,469,644,489,496,537,565,768,40,64,431,477,838,425,387,529,274,750,190,963,521
"('OG_00514', 'Pocillopora_meandrina_HIv1___TS.g4396.t1a')",50,144,81,101,0,17,41,177,46,21,81,51,200,172,22,17,154,14,13,0,0,18,64,161,44,31,107,2,119,47,148,11
"('OG_00510', 'Pocillopora_meandrina_HIv1___RNAseq.g1894.t1')",1268,1174,1598,933,227,1021,864,3260,1581,325,683,833,1020,1483,764,800,1762,734,471,361,146,619,1367,2394,1115,812,1393,1215,1219,371,2404,1036
"('OG_16383', 'Pocillopora_meandrina_HIv1___TS.g4407.t1')",1511,131,777,252,135,384,82,620,748,127,353,505,207,248,86,109,1512,102,31,20,33,64,203,436,516,436,1128,94,494,174,1404,222
"('OG_17245', 'Pocillopora_meandrina_HIv1___TS.g4479.t1b')",0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,6,8,10,9,0,0,0,0,7,3,0,0,0,0,0,0,0
"('OG_00466', 'Pocillopora_meandrina_HIv1___TS.g4618.t1')",504,448,547,242,73,209,657,804,209,413,232,199,427,383,151,105,342,260,245,59,45,188,281,570,295,218,639,282,371,83,532,276
"('OG_00460', 'Pocillopora_meandrina_HIv1___RNAseq.g2123.t1')",364,187,282,141,26,61,333,304,115,84,133,12,296,284,159,53,480,179,102,52,0,81,183,275,166,131,282,29,119,211,332,267
"('OG_00572', 'Pocillopora_meandrina_HIv1___RNAseq.g2162.t1')",408,387,429,206,60,159,817,842,195,790,224,65,357,553,379,323,488,506,618,73,13,377,255,589,397,312,579,335,234,100,559,414
"('OG_17806', 'Pocillopora_meandrina_HIv1___TS.g4783.t1')",22,61,25,50,0,10,83,45,0,0,0,0,27,68,3,0,0,0,4,0,0,4,30,19,21,13,39,3,15,10,21,4
"('OG_00430', 'Pocillopora_meandrina_HIv1___TS.g4798.t2')",9785,733,369,771,55,851,1145,635,1128,2001,2573,196,561,644,1285,2120,2382,1556,1982,286,77,2606,1043,908,1741,1666,837,787,3525,941,715,3317
"('OG_15877', 'Pocillopora_meandrina_HIv1___RNAseq.g2598.t1')",27,20,11,0,0,23,38,32,9,13,24,29,20,28,28,4,35,32,12,71,0,8,18,22,26,13,10,16,42,6,11,0
"('OG_00632', 'Pocillopora_meandrina_HIv1___RNAseq.g2602.t1')",53,144,128,83,32,41,50,137,35,55,165,65,142,124,76,75,97,39,85,19,20,63,125,163,124,83,119,22,79,58,130,26
"('OG_13882', 'Pocillopora_meandrina_HIv1___TS.g5119.t2')",383,353,238,462,15,256,633,555,290,435,374,184,367,608,447,449,367,290,580,19,0,210,242,327,363,596,345,446,472,237,532,805
"('OG_17176', 'Pocillopora_meandrina_HIv1___RNAseq.g2633.t1')",583,665,844,406,20,294,555,802,292,820,512,268,409,366,153,143,407,180,569,101,0,310,274,496,1329,658,1138,424,503,429,1020,824
"('OG_15816', 'Pocillopora_meandrina_HIv1___RNAseq.g14450.t1')",194,122,152,182,18,89,0,249,259,0,308,310,30,96,193,66,380,25,15,26,0,59,51,179,174,21,137,74,514,88,428,87
"('OG_03289', 'Pocillopora_meandrina_HIv1___RNAseq.g12990.t1a')",493,299,116,130,0,62,43,193,219,0,103,68,157,384,63,54,430,28,35,0,0,56,95,278,148,25,157,8,208,104,509,131
"('OG_14322', 'Pocillopora_meandrina_HIv1___TS.g1982.t1')",0,0,0,0,0,8,4,2,0,0,0,0,4,0,0,0,23,8,0,11,0,0,0,8,0,11,9,0,7,0,2,0
"('OG_03288', 'Pocillopora_meandrina_HIv1___RNAseq.g12994.t1')",1357,380,422,316,40,334,923,575,269,1070,607,221,410,354,422,538,545,684,607,420,26,624,312,557,453,377,826,456,302,538,593,1033
"('OG_05749', 'Pocillopora_meandrina_HIv1___RNAseq.g13115.t1')",844,617,325,172,0,171,1038,396,161,1802,245,70,258,532,526,893,273,1497,851,160,0,554,236,900,411,461,664,237,329,141,525,674
"('OG_15089', 'Pocillopora_meandrina_HIv1___RNAseq.g13168.t1')",57,85,22,83,0,22,179,68,70,43,95,43,124,308,177,125,93,108,335,55,0,349,114,115,193,212,85,3,128,82,133,21
"('OG_03291', 'Pocillopora_meandrina_HIv1___TS.g2168.t1a')",1057,866,334,414,73,361,2247,1313,562,2075,963,214,638,1031,2383,2681,740,2174,3292,110,174,2128,568,900,746,1132,1096,807,1365,556,1238,3424
"('OG_05666', 'Pocillopora_meandrina_HIv1___RNAseq.g13294.t1')",477,226,390,237,15,146,406,256,202,150,215,78,479,511,390,126,464,158,119,51,44,87,332,414,443,282,400,49,303,241,402,316
"('OG_03298', 'Pocillopora_meandrina_HIv1___RNAseq.g13342.t1')",370,316,121,94,0,59,237,609,69,210,185,45,175,283,141,154,285,153,521,17,0,165,212,418,246,229,444,86,189,45,465,161
"('OG_05856', 'Pocillopora_meandrina_HIv1___RNAseq.g13629.t2')",690,831,475,460,87,352,521,573,370,539,908,324,379,447,318,605,739,479,732,239,28,431,324,567,689,626,923,332,270,409,509,553
